Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
100,0,Foraging,Foraging,Adult,{6},{6},[8860.282325612381;30460.777476988733;-13781.576893959194]
100,3,Lying/resting (stationary),Background,Adult,{},{},[35929.15325698629;38623.11496455595;-28780.96306488663]
101,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12341.74915646296;29231.393768880516;-15134.29280735366]
101,0,Foraging,Foraging,Adult,{6},{6},[8860.282325612381;30460.777476988733;-13781.576893959194]
101,3,Lying/resting (stationary),Background,Adult,{},{},[35929.15325698629;38623.11496455595;-28780.96306488663]
102,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12341.74915646296;29231.393768880516;-15134.29280735366]
102,0,Foraging,Foraging,Adult,{6},{6},[8822.854121156037;30468.91617335379;-13777.125659584999]
102,1,Foraging,Waiting Area,Adult,{},{},[22050.69906167686;41070.28533139825;-8875.635434232652]
102,3,Lying/resting (stationary),Background,Adult,{},{},[35929.15325698629;38623.11496455595;-28780.96306488663]
103,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12341.74915646296;29231.393768880516;-15134.29280735366]
103,0,Foraging,Foraging,Adult,{6},{6},[8822.854121156037;30468.91617335379;-13777.125659584999]
103,1,Foraging,Waiting Area,Adult,{},{},[22275.649085447192;41052.72792336345;-8910.38948128745]
103,3,Lying/resting (stationary),Background,Adult,{},{},[35929.15325698629;38623.11496455595;-28780.96306488663]
104,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12341.74915646296;29231.393768880516;-15134.29280735366]
104,0,Foraging,Foraging,Adult,{6},{6},[8839.996058043092;30519.696516048163;-13757.927259271964]
104,1,Foraging,Waiting Area,Adult,{},{},[22347.854050263762;41070.07337248325;-8871.415640156716]
104,3,Lying/resting (stationary),Background,Adult,{},{},[35929.15325698629;38623.11496455595;-28780.96306488663]
105,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12341.74915646296;29231.393768880516;-15134.29280735366]
105,0,Foraging,Foraging,Adult,{6},{6},[8839.996058043092;30519.696516048163;-13757.927259271964]
105,1,Moving,Waiting Area,Adult,{},{},[24455.96523027867;41333.3037673682;-8812.838555805385]
105,3,Lying/resting (stationary),Background,Adult,{},{},[35929.15325698629;38623.11496455595;-28780.96306488663]
106,6,Lying/resting (stationary),Foraging,Adult,{0},{0},[12341.74915646296;29231.393768880516;-15134.29280735366]
106,0,Foraging,Foraging,Adult,{6},{6},[9029.669424772263;30589.566093832254;-13735.561835333705]
