Time,ID,Behaviour,Zone,Close_neighbours,Distant_neighbours
490,62,Foraging,Foraging,{66;68;70;60},{71;60;66;68;70;65}
490,65,Moving,Foraging,{},{71;60;66;68;62;70}
490,66,Interacting with foreign object,Foraging,{70;62;68;60},{71;60;68;62;70;65}
490,68,Foraging,Foraging,{66;62;70;60},{71;60;66;62;70;65}
490,70,Foraging,Foraging,{66;62;68},{71;66;68;62;60;65}
490,71,Interacting with foreign object,Foraging,{60},{66;68;70;62;60;65}
491,60,Foraging,Foraging,{71;66;72;62;65},{71;66;68;72;62;70;65}
491,62,Foraging,Foraging,{60;66;72;70;65},{71;60;66;68;72;70;65}
491,65,Playfight,Foraging,{60;66;68;72;62;70},{71;60;66;68;72;62;70}
491,66,Interacting with foreign object,Foraging,{71;60;68;72;62;70;65},{71;60;68;72;62;70;65}
491,68,Foraging,Foraging,{66;70;65},{71;60;66;72;62;70;65}
491,70,Foraging,Foraging,{66;62;68;65},{71;66;68;72;62;60;65}
491,71,Interacting with foreign object,Foraging,{66;72;60},{66;68;70;72;62;60;65}
491,72,Interacting with foreign object,Foraging,{71;66;62;60;65},{71;66;68;70;62;60;65}
492,60,Foraging,Foraging,{66;68;72;62;65},{71;66;68;72;62;70;65}
492,62,Foraging,Foraging,{60;66;68;72;70;65},{60;66;68;72;70;65}
492,65,Foraging,Foraging,{60;66;68;72;62;70},{60;66;68;72;62;70}
492,66,Interacting with foreign object,Foraging,{60;68;72;62;70;65},{71;60;68;72;62;70;65}
492,68,Foraging,Foraging,{60;66;72;62;70;65},{60;66;72;62;70;65}
492,70,Foraging,Foraging,{66;62;68;65},{71;66;68;72;62;60;65}
492,71,Interacting with foreign object,Foraging,{},{66;72;70;60}
492,72,Interacting with foreign object,Foraging,{66;68;62;60;65},{71;66;68;70;62;60;65}
493,60,Foraging,Foraging,{71;66;68;72;62;65},{71;66;68;72;62;70;65}
493,62,Foraging,Foraging,{60;66;68;72;70;65},{71;60;66;68;72;70;65}
493,65,Foraging,Foraging,{60;66;68;72;62;70},{71;60;66;68;72;62;70}
493,66,Interacting with foreign object,Foraging,{71;60;68;72;62;70;65},{71;60;68;72;62;70;65}
493,68,Foraging,Foraging,{60;66;72;62;70;65},{71;60;66;72;62;70;65}
493,70,Foraging,Foraging,{66;62;68;65},{71;66;68;72;62;60;65}
493,71,Interacting with foreign object,Foraging,{66;72;60},{66;68;70;72;62;60;65}
493,72,Interacting with foreign object,Foraging,{71;66;68;62;60;65},{71;66;68;70;62;60;65}
494,60,Foraging,Foraging,{71;66;68;72;62;65},{71;66;68;72;62;70;65}
494,62,Foraging,Foraging,{60;66;68;72;70;65},{71;60;66;68;72;70;65}
494,65,Foraging,Foraging,{60;66;68;62;70},{71;60;66;68;72;62;70}
494,66,Interacting with foreign object,Foraging,{71;60;68;72;62;70;65},{71;60;68;72;62;70;65}
494,68,Foraging,Foraging,{60;66;72;62;70;65},{71;60;66;72;62;70;65}
494,70,Foraging,Foraging,{66;62;68;65},{71;66;68;72;62;60;65}
494,71,Interacting with foreign object,Foraging,{66;72;60},{66;68;70;72;62;60;65}
494,72,Interacting with foreign object,Foraging,{71;66;68;62;60},{71;66;68;70;62;60;65}
